Libraries,Statistics,Basic maths,supervised algorithms,unsupervised algorithms,semi-supervised algorithms,reinforced algorithm,ML score
1,0,1,1,1,0,1,83.63
0,1,1,0,0,1,0,78.61
0,0,1,1,1,1,0,80.15
1,1,0,0,1,0,0,73.08
0,1,1,1,0,1,1,78.15
0,0,1,0,0,0,1,84.33
1,0,1,1,1,0,1,71.95
1,1,0,1,1,0,0,74.34
1,0,0,1,0,0,1,78.39
1,0,0,0,0,1,1,83.66
1,0,1,1,0,1,1,74.15
0,1,1,0,0,0,1,85.27
0,0,0,1,1,1,1,87.52
0,0,1,0,1,1,1,76.9
1,1,0,0,0,1,0,71.33
0,0,1,0,1,1,0,76.36
1,0,0,1,0,1,1,76.99
0,0,1,1,0,0,1,76.2
0,1,0,0,0,0,0,81.1
0,0,0,1,1,0,1,75.74
0,1,0,0,1,1,0,78.8
0,0,1,0,1,0,1,75.76
0,1,1,1,0,0,0,78.22
0,1,1,1,1,1,1,79.76
0,1,1,0,0,0,1,80.32
1,1,0,0,0,1,0,78.54
1,0,0,1,1,1,1,77.86
0,0,1,0,0,1,0,77.66
1,0,1,0,1,0,1,76.48
1,1,0,1,0,1,1,80.36
0,0,1,1,1,0,1,84.07
1,1,1,0,0,0,1,71.32
1,0,1,1,1,0,1,87.32
1,0,0,0,0,0,1,75.74
1,0,0,1,1,1,1,84.0
0,0,0,1,0,1,1,81.09
0,0,0,0,1,0,1,73.38
0,0,1,0,1,1,1,77.43
0,1,1,0,1,1,1,85.53
1,1,0,1,0,0,0,87.59
1,1,0,1,1,0,1,74.7
0,0,1,1,1,0,1,79.99
1,1,0,0,1,0,1,76.88
1,0,0,1,0,1,0,76.88
0,1,1,1,0,0,1,84.83
0,0,1,1,0,0,1,86.58
0,1,1,0,0,0,0,74.81
1,1,0,1,0,1,1,77.27
0,0,0,0,1,1,0,83.27
0,0,1,0,1,0,0,79.94
1,1,0,1,1,0,0,86.48
0,1,1,0,0,0,1,76.07
1,0,1,1,0,1,1,80.24
0,0,0,1,0,0,0,81.05
1,1,1,1,1,0,1,74.52
0,0,1,1,0,0,0,71.48
0,0,1,0,0,1,1,80.35
0,0,1,0,0,1,0,74.07
0,0,1,1,0,0,1,77.83
0,1,1,1,1,0,0,77.29
1,0,0,0,1,0,0,75.53
0,0,1,0,1,0,0,86.7
0,1,1,0,1,0,1,69.36
0,0,0,1,0,0,0,79.24
0,1,0,0,0,1,1,79.19
1,0,1,1,0,1,1,72.85
0,1,1,1,0,1,0,84.47
0,0,0,0,1,0,0,81.79
0,0,0,0,0,1,1,81.74
0,1,0,0,1,1,1,79.71
1,0,1,0,0,0,0,88.84
1,1,1,0,1,0,0,77.35
1,1,1,1,1,0,0,74.14
1,0,0,1,0,0,1,82.25
0,0,0,1,1,0,0,68.76
0,1,0,0,0,0,0,76.32
1,0,1,1,0,1,1,71.1
1,0,1,0,1,1,0,80.24
0,1,1,1,1,0,0,75.23
0,0,1,0,0,0,1,80.16
0,1,1,1,1,0,1,78.62
1,0,1,1,1,0,1,81.45
1,1,1,0,1,1,0,78.01
0,1,0,1,0,1,0,80.17
0,1,1,0,0,1,1,84.21
1,1,1,1,0,0,1,82.76
0,1,0,1,0,1,0,80.49
1,0,0,0,0,1,1,81.69
0,0,1,1,1,0,1,76.06
0,1,0,1,0,0,1,72.1
0,0,0,0,0,1,1,76.4
0,1,1,1,1,0,0,78.43
0,0,0,0,0,1,1,82.23
0,1,1,0,0,0,1,74.63
0,0,0,1,0,1,1,82.5
0,0,1,0,0,0,1,77.83
0,1,1,1,1,0,1,68.85
1,0,0,0,0,1,0,78.38
0,1,1,1,0,0,1,76.83
1,0,0,0,0,0,1,66.78
0,0,1,1,0,1,1,77.37
0,0,0,0,1,1,1,75.25
0,0,1,0,1,0,1,69.82
0,0,1,0,0,1,0,86.12
1,0,0,1,1,1,0,73.48
1,1,1,0,0,1,0,88.02
0,1,0,0,1,0,1,66.98
0,0,1,1,1,0,0,74.4
0,0,1,0,1,0,1,81.26
0,1,0,1,1,0,1,77.35
1,1,1,0,1,0,0,88.66
0,1,0,1,0,1,1,74.78
1,1,0,0,0,0,1,74.27
0,0,0,1,0,1,0,67.56
1,0,0,0,1,1,0,77.87
1,0,1,1,0,1,0,85.54
0,1,1,1,0,0,1,75.83
1,0,1,1,0,1,1,73.52
0,1,0,1,0,1,1,81.69
0,0,0,0,1,1,0,71.46
1,0,0,1,0,1,0,90.65
0,1,0,1,0,1,1,80.0
1,1,1,0,0,0,1,77.18
1,0,0,0,1,1,1,72.5
1,0,1,1,0,1,0,86.2
0,0,0,0,0,1,1,81.92
1,1,1,1,0,0,1,79.27
0,1,0,0,1,0,1,78.76
0,1,1,0,0,0,1,87.22
0,0,1,1,1,0,0,66.09
0,1,0,1,1,1,0,84.21
1,1,0,1,1,1,1,77.64
1,0,0,0,0,0,1,78.76
0,0,1,0,1,0,1,73.39
0,0,1,1,1,0,0,78.08
1,0,0,1,0,0,0,72.4
0,0,1,1,1,0,0,77.14
1,0,0,1,1,0,1,81.75
0,1,0,1,1,1,1,76.04
1,0,0,0,1,1,1,84.89
0,1,0,0,0,1,0,77.16
0,0,1,0,1,0,0,80.36
0,0,1,1,1,1,1,77.93
1,0,0,0,1,1,0,75.93
1,0,0,0,0,0,1,72.72
0,1,0,0,1,1,1,76.35
0,0,1,0,1,0,1,81.87
0,1,1,1,0,0,0,80.41
1,1,0,0,1,0,0,76.74
0,0,0,1,1,0,1,87.46
1,0,1,0,0,1,1,82.46
1,0,0,1,0,1,0,79.94
0,0,1,1,0,0,1,82.1
1,1,1,1,0,1,0,72.75
0,0,0,0,1,1,0,69.82
1,1,0,1,1,0,0,75.1
0,0,0,0,0,0,0,77.28
0,1,0,0,0,0,0,74.04
0,1,0,1,0,1,0,71.59
0,0,1,1,1,1,1,74.21
1,0,1,0,1,1,1,76.42
0,1,0,0,1,1,1,62.99
1,0,0,1,0,1,1,84.69
0,1,1,1,1,1,0,72.69
1,0,1,0,1,0,0,71.11
1,0,1,0,0,0,1,80.38
0,1,0,0,1,1,0,76.57
0,1,0,1,0,0,0,89.93
0,0,1,0,0,0,0,79.05
0,0,0,0,0,0,0,81.6
1,1,0,0,0,0,1,82.55
0,1,0,0,1,0,0,80.16
0,1,0,1,0,1,0,73.94
0,0,1,0,0,0,1,74.68
1,0,1,1,1,1,1,87.1
0,0,1,1,0,0,1,82.07
1,1,0,1,1,1,1,75.56
1,1,0,0,0,1,0,79.71
1,0,1,0,0,1,1,74.31
0,1,0,0,0,0,0,83.07
1,0,0,0,0,1,0,75.22
1,0,0,0,1,1,1,79.99
0,0,1,0,0,0,1,80.61
0,0,0,0,1,0,1,73.66
0,0,1,0,0,1,0,82.08
0,1,0,0,1,0,1,79.89
1,1,0,1,1,0,1,75.56
1,1,0,0,0,0,0,73.49
1,0,0,0,1,1,1,86.06
1,1,1,1,1,1,1,71.97
0,0,0,0,1,1,0,74.0
1,1,1,1,1,1,0,82.54
1,1,1,1,0,0,0,79.18
0,0,0,1,1,0,0,70.67
0,0,1,0,0,1,1,79.13
1,0,0,1,0,0,0,81.34
1,1,0,1,1,1,0,81.12
0,0,1,1,0,0,1,78.6
1,0,0,0,1,1,0,77.62
1,0,0,1,1,0,0,72.36
0,1,0,1,0,1,0,76.73
0,0,0,0,1,0,1,75.98
0,0,0,1,0,1,0,82.34
0,1,0,0,0,0,1,82.73
1,0,0,1,0,1,0,74.86
0,0,0,0,1,0,0,79.98
0,0,0,1,1,1,0,75.79
0,1,1,1,1,1,1,87.31
1,1,0,0,1,0,1,76.73
1,0,0,0,1,0,1,80.76
0,0,1,1,0,0,0,73.17
0,0,1,1,1,1,0,78.27
1,1,1,0,1,1,1,72.62
1,1,0,0,1,1,0,71.83
0,0,0,1,1,0,0,81.19
0,0,0,1,1,0,0,87.05
0,0,0,1,0,1,1,91.4
1,0,1,0,1,0,0,77.62
1,0,0,0,1,1,0,79.47
0,0,0,0,1,0,0,72.6
1,0,1,1,1,1,0,69.91
1,1,1,1,1,1,0,73.58
0,0,1,1,0,1,1,80.19
1,0,1,0,1,0,1,70.31
1,1,0,0,1,1,1,82.49
1,1,1,1,0,0,0,73.76
0,1,0,0,0,0,0,80.66
1,1,0,0,1,1,1,80.16
0,1,1,1,1,1,0,74.55
0,0,1,0,1,0,1,76.04
1,0,0,0,0,1,0,81.97
1,1,0,1,1,0,1,70.43
1,0,1,0,1,0,1,78.69
1,0,0,1,1,1,0,84.64
1,1,0,0,1,1,0,82.64
0,1,0,0,1,0,1,73.72
1,1,0,0,0,0,0,85.47
1,0,1,0,1,0,0,75.47
0,1,1,0,1,1,0,67.15
0,1,1,0,1,0,1,74.53
1,0,0,1,1,0,0,79.73
0,0,1,1,1,0,0,80.67
1,0,0,0,0,1,1,85.44
1,0,1,1,1,1,1,80.09
1,1,0,1,0,0,0,73.28
1,0,0,0,0,1,1,83.47
1,1,0,1,0,1,0,76.17
1,0,0,1,1,1,0,84.37
0,0,1,1,1,0,1,76.06
0,1,0,0,0,0,1,76.7
0,1,1,1,1,0,1,82.5
1,0,1,1,0,1,0,73.7
0,1,1,1,1,1,0,87.46
0,0,1,1,0,0,0,74.43
1,0,1,1,0,0,0,76.94
1,0,1,1,0,0,1,79.05
0,0,1,1,0,1,1,77.38
0,1,1,1,1,0,1,74.53
0,0,0,1,1,0,1,77.42
1,1,0,1,0,0,0,73.82
1,1,1,0,0,1,0,75.45
1,1,1,1,0,0,0,74.33
0,0,1,1,1,0,0,71.83
0,1,1,1,1,0,0,74.92
0,0,0,0,1,1,1,78.13
1,1,1,1,1,1,1,79.86
1,1,0,1,0,1,1,78.17
1,0,0,1,1,0,0,74.8
0,1,0,1,0,0,0,85.44
0,1,0,1,0,1,1,76.05
1,0,0,1,0,0,1,70.13
1,0,1,1,1,0,0,77.84
1,0,1,0,1,1,0,79.0
0,1,0,1,0,1,0,68.07
1,1,1,0,1,0,1,64.37
1,0,1,0,1,1,1,83.4
1,0,0,0,1,0,0,74.77
1,0,1,0,0,0,1,76.66
1,1,0,0,0,0,1,80.46
1,1,1,0,1,1,1,88.99
0,1,0,1,0,0,1,77.3
1,0,0,1,0,0,0,73.12
0,1,1,0,0,1,0,75.93
0,1,0,0,0,0,0,77.36
1,1,0,1,0,0,1,71.1
1,0,1,0,1,0,0,80.29
0,0,0,1,1,1,0,74.32
1,0,1,0,1,1,0,76.28
0,0,0,1,0,0,1,84.28
0,0,0,0,0,0,1,68.24
0,0,0,1,0,1,1,80.05
0,1,0,0,0,1,1,75.66
1,0,1,0,1,1,1,79.9
1,1,1,1,0,1,1,74.62
1,0,0,0,0,1,1,81.82
1,0,1,0,0,0,0,74.4
0,1,0,1,0,1,1,75.25
0,0,1,0,1,0,1,73.16
1,1,0,0,0,1,1,77.87
1,0,0,0,1,1,1,81.3
1,0,1,1,1,1,0,73.61
1,1,1,0,0,0,1,77.49
1,1,1,1,1,1,1,78.55
0,1,0,1,0,1,0,82.71
1,0,0,0,1,1,0,78.2
1,0,1,1,0,0,0,74.87
0,1,0,1,0,0,0,78.97
0,0,1,0,1,1,0,73.68
1,1,0,0,1,1,1,78.11
0,1,0,1,0,1,1,81.57
1,1,0,0,0,0,0,76.82
0,1,1,1,0,0,0,78.19
0,0,0,1,0,1,0,76.61
0,1,1,1,1,0,0,80.51
1,1,0,0,1,0,1,75.32
0,0,0,0,0,1,0,78.33
1,0,1,0,0,0,1,81.19
0,1,1,0,0,1,1,68.21
0,1,0,0,0,1,0,82.23
0,1,1,0,1,1,0,80.6
0,1,0,0,1,0,1,67.72
1,1,0,1,1,0,1,72.5
1,1,1,1,0,0,0,73.2
0,1,1,0,0,0,0,82.54
0,1,1,1,1,1,0,79.98
1,1,0,0,1,0,1,83.69
1,1,1,1,0,0,1,88.95
1,0,1,1,1,0,1,74.1
0,0,1,1,0,0,1,90.34
1,0,1,0,1,1,1,72.01
0,1,0,0,1,1,1,78.85
1,1,1,1,1,0,1,73.37
1,1,1,0,0,0,1,80.06
1,0,1,1,1,0,1,80.21
0,1,1,0,0,1,0,74.63
0,0,1,0,1,1,0,81.85
0,0,1,0,1,0,1,76.79
1,0,1,1,1,1,0,73.88
0,0,1,0,0,1,1,78.47
0,0,0,0,1,1,0,76.3
1,1,1,0,1,1,1,78.4
1,0,1,0,1,0,0,89.6
0,0,0,0,0,0,1,75.4
1,0,0,0,0,0,1,75.28
1,1,0,0,1,1,1,80.88
0,0,1,1,0,0,1,71.61
0,1,1,0,0,0,0,80.25
1,0,1,0,1,1,1,73.97
0,1,0,1,1,1,1,77.27
1,1,1,1,0,0,0,77.95
0,1,0,0,0,1,0,87.89
0,1,1,1,1,1,0,77.73
1,1,1,0,0,1,0,81.16
0,0,0,1,0,0,1,70.21
0,0,0,1,0,1,0,81.77
0,0,1,0,1,0,0,71.44
0,1,0,0,1,1,1,78.08
0,1,1,1,0,0,0,70.22
0,1,0,0,1,0,0,76.01
0,0,1,0,1,1,1,80.06
0,0,0,0,0,1,0,72.76
1,0,0,1,0,1,0,72.33
0,0,0,0,1,1,1,79.75
1,0,0,0,1,1,1,80.75
0,0,0,0,0,0,1,79.37
1,1,1,1,0,0,0,78.57
0,0,1,0,1,1,1,79.95
0,1,0,0,1,0,0,81.37
0,1,1,0,0,1,0,71.1
0,0,0,1,1,1,0,81.59
1,1,1,1,0,1,0,75.38
1,0,1,0,0,1,1,87.38
1,0,1,1,0,0,1,65.39
0,1,0,0,0,1,1,77.94
1,0,1,1,0,0,0,73.02
1,1,0,1,1,0,0,80.75
0,1,0,0,0,1,0,85.55
0,0,0,1,0,1,0,71.53
1,1,1,1,0,0,1,72.77
0,0,1,0,1,1,1,83.17
0,0,0,1,0,0,0,78.94
1,0,0,0,1,1,1,79.25
1,0,0,1,0,1,1,74.14
1,1,1,0,1,1,1,77.66
1,0,1,1,0,0,0,76.55
1,0,0,0,1,0,0,73.77
1,0,1,1,0,0,0,76.72
0,1,1,0,0,0,0,74.97
1,1,0,1,0,1,1,79.94
0,0,1,1,1,1,1,76.24
1,1,0,1,0,0,0,75.65
1,0,1,1,0,1,1,78.18
1,1,1,0,0,1,0,81.34
1,1,0,0,0,1,1,90.6
1,0,1,1,0,1,1,76.23
0,1,1,0,1,0,0,79.36
1,1,1,0,1,1,0,72.37
0,0,1,1,0,1,1,82.02
0,1,0,1,1,1,0,75.9
1,0,0,1,0,0,1,83.15
1,1,1,1,1,1,1,76.34
0,0,1,0,0,0,0,80.68
1,1,1,1,1,1,0,74.73
1,0,0,1,0,0,1,76.76
1,1,1,0,1,0,1,75.98
0,0,1,0,0,0,1,75.38
0,0,1,0,1,0,1,61.41
0,0,0,1,0,1,1,71.13
1,1,1,0,1,0,0,75.95
1,1,1,1,0,1,1,76.3
0,1,0,0,0,0,0,70.23
0,1,0,0,0,0,1,75.6
0,0,1,0,1,0,0,69.56
0,0,1,1,1,1,1,70.42
0,1,1,1,0,1,1,76.18
1,0,1,0,0,0,1,80.86
0,0,0,0,1,1,0,84.04
1,0,0,0,0,0,1,78.91
1,1,1,1,1,1,0,79.52
0,1,1,1,0,0,1,76.53
0,0,1,1,0,1,0,83.18
0,0,0,1,1,0,1,77.17
1,1,1,1,0,1,0,66.78
1,0,1,0,1,0,0,82.15
0,1,1,1,0,0,0,68.34
0,1,0,0,0,0,0,90.62
1,0,0,0,0,1,0,80.43
0,1,1,1,1,1,0,90.11
0,0,1,1,1,0,0,82.9
1,1,1,0,0,1,1,75.37
0,0,1,0,0,1,0,83.56
1,1,1,1,1,0,0,74.13
0,0,1,1,0,0,1,72.68
1,0,0,1,0,0,1,75.23
0,1,0,0,0,0,0,72.39
1,1,0,0,0,1,0,77.33
0,0,1,0,0,0,1,84.5
0,0,1,0,0,0,1,72.82
0,0,0,0,0,1,1,74.56
0,0,0,0,1,0,1,84.79
0,0,0,0,1,0,0,73.36
1,0,1,1,0,1,0,78.66
0,0,0,1,0,0,0,76.58
1,1,1,0,1,1,1,71.93
0,1,0,0,0,0,1,73.94
1,1,0,0,0,0,0,83.27
0,1,0,0,1,1,1,76.27
0,0,0,1,0,1,0,72.31
0,0,0,0,1,0,0,72.04
1,0,1,0,1,0,1,76.44
0,1,0,1,0,0,0,74.19
1,0,1,1,1,0,0,79.17
0,1,0,0,0,1,1,77.62
1,1,0,1,1,1,1,70.03
0,0,1,1,1,0,1,86.61
1,0,1,1,0,0,1,72.49
0,0,0,1,0,1,1,81.48
0,1,1,0,0,0,1,71.63
0,1,1,0,1,1,1,81.31
0,1,1,1,1,0,1,81.14
1,0,1,0,1,1,0,75.79
0,1,1,1,0,0,1,78.45
1,0,1,1,1,0,1,79.0
0,1,1,0,0,1,0,74.23
0,1,1,0,0,1,1,79.4
1,0,0,0,0,0,0,78.83
1,0,1,0,1,1,1,81.7
1,1,1,0,0,0,1,90.44
1,1,1,0,0,0,1,71.95
0,1,1,0,0,0,0,78.89
1,0,1,1,0,1,0,80.3
1,0,1,1,0,1,1,80.9
0,0,1,0,0,1,1,72.22
0,0,0,0,0,1,1,78.4
0,0,0,1,0,1,0,78.96
1,0,1,0,1,0,0,83.5
0,0,1,1,1,0,1,74.78
0,0,0,0,0,1,0,75.55
1,1,1,0,1,1,0,81.13
1,0,0,0,0,0,0,81.18
1,0,0,0,0,0,1,74.62
1,0,0,1,1,0,1,72.3
1,0,1,1,1,1,0,69.78
0,0,1,1,1,1,0,77.56
0,1,0,0,1,1,0,86.8
1,1,0,1,0,0,0,89.97
0,1,0,1,1,0,1,81.57
1,1,1,0,1,0,0,87.16
1,1,0,0,0,1,1,74.26
0,0,0,0,1,0,0,84.76
0,1,1,1,1,1,1,73.69
1,1,0,1,1,1,1,75.66
0,1,0,1,1,1,0,84.99
1,0,1,0,0,1,0,85.35
1,1,1,0,1,0,0,78.77
1,0,1,0,1,0,0,82.73
0,0,0,0,0,0,0,81.51
1,0,1,0,0,1,0,73.35
1,0,1,0,1,1,1,81.85
1,0,1,1,1,0,1,72.9
0,0,1,1,1,0,0,81.81
1,0,1,1,0,0,1,71.09
0,1,1,0,1,1,0,69.05
1,1,0,0,1,0,1,74.32
1,1,0,0,0,1,0,73.57
1,1,1,0,0,1,1,76.6
1,0,0,1,0,1,1,83.01
0,1,1,1,1,0,0,66.43
0,0,1,1,1,1,1,77.83
0,1,0,1,1,1,1,80.13
0,0,0,0,1,1,1,87.54
1,1,1,0,0,0,0,77.95
1,0,0,1,0,1,1,84.58
1,0,0,0,1,1,0,79.25
1,0,1,1,1,0,0,82.67
0,1,0,0,1,1,1,90.01
0,1,1,1,1,1,1,76.08
0,1,0,0,1,1,1,75.25
0,1,0,1,1,1,0,84.22
1,1,1,1,1,1,0,84.81
0,0,0,0,0,1,1,78.74
0,1,1,1,1,1,0,88.77
1,1,0,1,0,0,1,73.79
1,1,0,0,0,1,1,72.5
1,1,0,0,0,0,0,78.97
1,0,1,0,1,0,0,86.66
0,0,0,0,1,0,0,77.6
0,1,0,1,0,1,0,69.04
0,1,0,0,0,1,0,75.49
1,1,1,1,0,0,0,72.69
0,0,0,0,1,1,0,73.25
1,0,0,0,0,1,0,79.84
0,1,1,0,0,1,1,78.34
1,1,1,1,0,0,0,78.82
0,0,0,0,0,1,0,78.19
0,0,1,0,0,0,1,72.63
0,0,1,1,0,1,1,81.6
0,0,0,1,0,1,0,81.51
0,1,0,1,0,0,0,74.99
1,0,0,1,1,0,0,85.52
1,1,0,1,0,1,1,72.08
0,1,1,1,1,0,0,83.31
0,0,0,0,0,1,1,76.31
0,0,1,1,1,0,1,80.49
1,1,1,0,1,1,1,76.86
1,1,1,1,0,0,0,81.77
1,1,1,0,0,0,1,78.84
0,1,1,1,1,1,0,79.4
0,0,0,0,0,0,0,71.48
1,0,0,1,0,1,0,70.29
1,1,1,0,1,0,1,80.31
0,0,0,0,1,1,0,77.1
1,1,0,1,1,1,0,84.52
1,1,0,0,1,1,1,80.51
0,0,1,0,0,1,0,80.89
1,0,1,0,1,1,0,72.87
0,1,0,0,0,1,0,77.61
0,0,0,1,0,1,1,75.64
1,0,0,0,1,1,0,91.59
1,1,0,0,0,0,0,88.76
0,1,1,0,0,1,1,65.64
0,1,1,0,0,1,0,78.59
1,1,0,0,1,0,1,73.48
1,0,0,1,0,0,0,75.78
1,0,0,1,0,1,0,78.94
1,0,0,1,1,0,1,86.25
1,0,0,0,1,0,1,84.12
1,0,0,0,0,1,0,71.32
0,0,1,1,0,1,1,68.95
1,0,1,1,0,0,0,69.44
0,0,1,1,1,0,1,77.04
0,1,0,0,0,0,0,65.77
1,1,1,0,0,0,1,83.58
1,1,1,1,0,1,1,72.78
0,0,1,1,0,0,0,86.29
1,1,0,1,0,1,0,70.73
0,1,0,1,0,1,0,75.48
0,0,1,0,1,0,0,80.29
0,0,1,0,0,1,0,75.08
0,0,1,0,1,1,1,72.31
1,0,1,1,1,0,1,73.34
0,1,0,0,0,1,1,78.37
1,1,0,0,1,1,0,73.02
1,0,1,0,1,0,0,79.76
0,1,0,1,1,0,1,80.31
0,1,1,1,1,1,1,76.07
0,0,1,1,1,1,0,78.24
1,0,1,1,0,1,0,76.96
0,1,0,1,1,0,1,80.05
1,1,0,0,0,1,1,77.18
0,0,0,1,1,0,1,80.32
0,0,0,0,0,1,0,83.08
1,0,0,0,1,1,1,74.89
1,1,0,1,1,0,0,73.77
1,1,1,0,1,0,1,81.09
0,1,0,1,0,1,0,73.52
0,0,0,0,1,1,0,73.92
0,0,1,0,0,1,0,73.94
0,1,1,0,0,1,1,73.62
1,1,1,1,0,1,0,73.66
0,0,0,0,1,1,0,84.77
0,0,0,0,1,1,1,81.22
0,0,0,0,0,1,1,83.33
1,1,1,1,0,0,1,72.46
1,1,1,0,1,0,0,72.88
0,0,0,1,0,0,0,73.19
0,1,0,1,1,0,1,64.83
0,0,0,0,1,1,1,76.76
0,0,1,0,0,0,1,81.79
0,1,0,0,1,1,1,72.83
0,1,0,0,0,1,0,72.87
0,0,0,1,1,1,1,73.81
0,0,1,1,1,1,0,79.28
1,0,0,0,1,1,1,74.06
1,0,0,1,1,1,1,81.66
1,1,1,0,0,1,0,75.39
0,0,1,1,1,0,1,70.71
1,0,0,0,1,0,1,79.93
1,0,1,0,1,0,0,80.35
1,0,0,0,0,1,1,67.28
0,0,0,1,0,1,0,84.39
1,0,0,0,1,1,1,79.71
0,1,1,0,1,1,1,74.86
1,0,0,1,0,0,1,79.74
0,1,1,1,0,0,1,72.98
1,1,0,0,1,0,0,78.26
0,0,1,1,1,1,1,83.65
0,0,0,0,0,0,0,88.68
1,1,0,1,0,0,1,74.38
1,0,1,1,0,1,0,76.65
1,0,0,0,1,1,1,78.99
0,0,1,1,1,1,1,77.51
0,1,0,0,1,1,0,77.06
